Date,Category,Year,Month,Day,IsHoliday,PredictedOrderQuantity
2024-01-24,Table,2024,1,24,0,21.872453358413928
2024-01-24,Chair,2024,1,24,0,23.543877247752242
2024-01-24,Sofa,2024,1,24,0,22.226961495715326
2024-01-24,Cabinet,2024,1,24,0,21.02370299369748
2024-01-24,Bed,2024,1,24,0,21.120139403923293
2024-01-24,Desk,2024,1,24,0,21.64079788999272
2024-01-25,Table,2024,1,25,0,21.87499859650917
2024-01-25,Chair,2024,1,25,0,23.58184928959928
2024-01-25,Sofa,2024,1,25,0,22.2231389682428
2024-01-25,Cabinet,2024,1,25,0,21.044160414332396
2024-01-25,Bed,2024,1,25,0,21.113523704096806
2024-01-25,Desk,2024,1,25,0,21.561884199516527
2024-01-26,Table,2024,1,26,0,21.9787125180778
2024-01-26,Chair,2024,1,26,0,23.756140956265952
2024-01-26,Sofa,2024,1,26,0,22.396364563480894
2024-01-26,Cabinet,2024,1,26,0,21.071420151817133
2024-01-26,Bed,2024,1,26,0,21.147029433645038
2024-01-26,Desk,2024,1,26,0,21.609362610126382
2024-01-27,Table,2024,1,27,1,22.555569107142855
2024-01-27,Chair,2024,1,27,1,24.503227182539685
2024-01-27,Sofa,2024,1,27,1,22.811523936847458
2024-01-27,Cabinet,2024,1,27,1,21.089626190476192
2024-01-27,Bed,2024,1,27,1,21.369357987845493
2024-01-27,Desk,2024,1,27,1,22.012875731590267
2024-01-28,Table,2024,1,28,1,22.39239625
2024-01-28,Chair,2024,1,28,1,24.159607142857144
2024-01-28,Sofa,2024,1,28,1,22.627093381291907
2024-01-28,Cabinet,2024,1,28,1,21.123163571428577
2024-01-28,Bed,2024,1,28,1,21.261782749750246
2024-01-28,Desk,2024,1,28,1,21.850192814923595
2024-01-29,Table,2024,1,29,0,21.532630144243896
2024-01-29,Chair,2024,1,29,0,23.83554716117216
2024-01-29,Sofa,2024,1,29,0,22.468784636703163
2024-01-29,Cabinet,2024,1,29,0,21.00924907731158
2024-01-29,Bed,2024,1,29,0,21.079006373580096
2024-01-29,Desk,2024,1,29,0,21.397605124389496
2024-01-30,Table,2024,1,30,0,21.65770073948199
2024-01-30,Chair,2024,1,30,0,23.69412751831502
2024-01-30,Sofa,2024,1,30,0,22.277335663780658
2024-01-30,Cabinet,2024,1,30,0,20.995770188422686
2024-01-30,Bed,2024,1,30,0,21.10252344842926
2024-01-30,Desk,2024,1,30,0,21.424764499389504
2024-01-31,Table,2024,1,31,0,21.67076887515262
2024-01-31,Chair,2024,1,31,0,24.130739239926744
2024-01-31,Sofa,2024,1,31,0,22.049076378066378
2024-01-31,Cabinet,2024,1,31,0,20.902915491452983
2024-01-31,Bed,2024,1,31,0,21.14026755396337
2024-01-31,Desk,2024,1,31,0,21.33728116605617
2024-02-01,Table,2024,2,1,0,21.756765542790546
2024-02-01,Chair,2024,2,1,0,22.88560660173161
2024-02-01,Sofa,2024,2,1,0,22.40891439204071
2024-02-01,Cabinet,2024,2,1,0,20.99384057464756
2024-02-01,Bed,2024,2,1,0,21.197615679179776
2024-02-01,Desk,2024,2,1,0,21.741383610718323
2024-02-02,Table,2024,2,2,0,21.766273518981023
2024-02-02,Chair,2024,2,2,0,23.512498015873028
2024-02-02,Sofa,2024,2,2,0,22.245443432444745
2024-02-02,Cabinet,2024,2,2,0,20.998379146076125
2024-02-02,Bed,2024,2,2,0,21.19360956806867
2024-02-02,Desk,2024,2,2,0,21.710948809131022
2024-02-03,Table,2024,2,3,1,22.419717619047614
2024-02-03,Chair,2024,2,3,1,23.46907142857143
2024-02-03,Sofa,2024,2,3,1,23.396957954545464
2024-02-03,Cabinet,2024,2,3,1,21.048051950549446
2024-02-03,Bed,2024,2,3,1,21.27781669306184
2024-02-03,Desk,2024,2,3,1,21.743857082550125
2024-02-04,Table,2024,2,4,1,22.352880535714284
2024-02-04,Chair,2024,2,4,1,23.87025297619048
2024-02-04,Sofa,2024,2,4,1,23.42204485930737
2024-02-04,Cabinet,2024,2,4,1,21.056881019813517
2024-02-04,Bed,2024,2,4,1,21.272150026395174
2024-02-04,Desk,2024,2,4,1,21.58536749921679
2024-02-05,Table,2024,2,5,0,22.12135299428642
2024-02-05,Chair,2024,2,5,0,22.627637515262514
2024-02-05,Sofa,2024,2,5,0,22.238721607047914
2024-02-05,Cabinet,2024,2,5,0,21.064605639687443
2024-02-05,Bed,2024,2,5,0,21.110896399201923
2024-02-05,Desk,2024,2,5,0,21.577378748442825
2024-02-06,Table,2024,2,6,0,22.08165799428642
2024-02-06,Chair,2024,2,6,0,23.349548229548226
2024-02-06,Sofa,2024,2,6,0,22.346056780208087
2024-02-06,Cabinet,2024,2,6,0,21.060685163496963
2024-02-06,Bed,2024,2,6,0,21.103691609626175
2024-02-06,Desk,2024,2,6,0,21.634522860929923
2024-02-07,Table,2024,2,7,0,22.210599433680354
2024-02-07,Chair,2024,2,7,0,23.754258186258177
2024-02-07,Sofa,2024,2,7,0,22.23648483271115
2024-02-07,Cabinet,2024,2,7,0,21.03296947085627
2024-02-07,Bed,2024,2,7,0,21.075062827158646
2024-02-07,Desk,2024,2,7,0,21.610875772928058
2024-02-08,Table,2024,2,8,0,22.21675456022048
2024-02-08,Chair,2024,2,8,0,23.99248017954267
2024-02-08,Sofa,2024,2,8,0,22.121609924286243
2024-02-08,Cabinet,2024,2,8,0,21.01252685180866
2024-02-08,Bed,2024,2,8,0,21.095249417737605
2024-02-08,Desk,2024,2,8,0,21.601915404677882
2024-02-09,Table,2024,2,9,0,22.17063526319398
2024-02-09,Chair,2024,2,9,0,23.66160734404484
2024-02-09,Sofa,2024,2,9,0,22.549374352401983
2024-02-09,Cabinet,2024,2,9,0,21.03315334531515
